Cod_Venda;Cod_Data;DataNotaFiscal;Dia;Mes;Ano;Cod_Marca;Marca;UF;Nome_UF;PrecoVenda;PrecoCusto;TotalDesconto;Frete;CustoMaoDeObra;Cod_Modelo;Modelo;Id_Cor;Cores;Cod_Vendedor;Vendedor;Cod_Filial;Nome_Filial;Estado_Filial;Demog_Clientes;Meios_de_Pag;Cat_de_Produtos;Campanhas_de_Mkt;Informacoes_de_Devolu;Canais_de_Venda;Indi_Satisfacao
1;43687;10/08/2019;10;8;2019;M05;Milteka;PR;Paraná;80,12;40,06;2;4,57;12,02;J005;Hot Pants;PMS 2965;Azul;7;Pedro;4;Bauru;SP;Masculino, 25-34, Classe B;Débito;Cropped, Elastano, Lavagem Clara;Promoção de Verão;Não;Online;3/5
2;42474;14/04/2016;14;4;2016;M05;Milteka;PI;Piauí;80,15;40,08;2;4,57;12,02;J003;Flare;PMS 2965;Azul;7;Pedro;4;Bauru;SP;Masculino, 35-44, Classe C;Pix;Mom, Elastano, Lavagem Escura;Promoção de Verão;Sim, Tamanho Incorreto;Online;4.5/5
3;44064;21/08/2020;21;8;2020;M05;Milteka;BA;Bahia;80,18;40,09;2;4,57;12,03;J004;Pantacourt;PMS 2765;Branco;1;Patricia;1;Allenópolis;SP;Feminino, 45-54, Classe B;Pix;Cropped, Elastano, Lavagem Clara;Liquidação de Inverno;Sim, Defeito no Produto;Online;2/5
4;43271;20/06/2018;20;6;2018;M04;Salvion;MG;Minas Gerais;80,88;40,44;2,02;4,61;12,13;J005;Hot Pants;PMS 2765;Branco;2;Milton;1;Allenópolis;SP;Feminino, 45-54, Classe B;Dinheiro;Mom, Elastano, Lavagem Escura;Liquidação de Inverno;Sim, Defeito no Produto;Loja Física;5/5
5;44104;30/09/2020;30;9;2020;M03;Patrilolo;RO;Rondônia;80,9;40,45;2,02;4,61;12,14;J001;Cropped;PMS 7515;Bege;5;Bianka;3;Rio Claro;MG;Masculino, 25-34, Classe B;Dinheiro;Cropped, Elastano, Lavagem Clara;Lançamento de Coleção;Sim, Defeito no Produto;Online;3/5
6;43099;30/12/2017;30;12;2017;M01;Allen Machine;GO;Goiás;81,02;40,51;2,03;4,62;12,15;J004;Pantacourt;PMS 7515;Bege;7;Pedro;4;Bauru;SP;Feminino, 18-24, Classe A;Débito;Flare, Jeans Reciclado, Rasgado;Promoção de Verão;Sim, Defeito no Produto;Loja Física;4/5
7;42707;03/12/2016;3;12;2016;M05;Milteka;PR;Paraná;81,14;40,57;2,03;4,62;12,17;J005;Hot Pants;PMS 2965;Azul;4;Edson;2;Nova Odessa;SC;Feminino, 18-24, Classe A;Cartão de Crédito;Mom, Elastano, Lavagem Escura;Black Friday;Não;Online;2/5
8;43500;04/02/2019;4;2;2019;M03;Patrilolo;RS;Rio Grande do Sul;81,21;40,61;2,03;4,63;12,18;J002;Skinny;PMS 2765;Branco;1;Patricia;1;Allenópolis;SP;Masculino, 55-64, Classe A;Dinheiro;Cropped, Elastano, Lavagem Clara;Lançamento de Coleção;Sim, Tamanho Incorreto;Loja Física;4.5/5
9;42960;13/08/2017;13;8;2017;M04;Salvion;MG;Minas Gerais;81,72;40,86;2,04;4,66;12,26;J002;Skinny;PMS 2965;Azul;1;Patricia;1;Allenópolis;SP;Masculino, 55-64, Classe A;Pix;Cropped, Elastano, Lavagem Clara;Promoção de Verão;Sim, Tamanho Incorreto;Online;3/5
10;44149;14/11/2020;14;11;2020;M02;Pardiucci;MA;Maranhão;82,14;41,07;2,05;4,68;12,32;J002;Skinny;PMS 2765;Branco;4;Edson;2;Nova Odessa;SC;Masculino, 55-64, Classe A;Pix;Mom, Elastano, Lavagem Escura;Liquidação de Inverno;Não;Online;3/5
11;43497;01/02/2019;1;2;2019;M02;Pardiucci;PR;Paraná;82,16;41,08;2,05;4,68;12,32;J003;Flare;PMS 2965;Azul;2;Milton;1;Allenópolis;SP;Masculino, 55-64, Classe A;Dinheiro;Flare, Jeans Reciclado, Rasgado;Dia das Mães;Sim, Tamanho Incorreto;Loja Física;5/5
12;42565;14/07/2016;14;7;2016;M01;Allen Machine;AL;Alagoas;82,34;41,17;2,06;4,69;12,35;J001;Cropped;PMS 576;Verde;4;Edson;2;Nova Odessa;SC;Masculino, 35-44, Classe C;Débito;Flare, Jeans Reciclado, Rasgado;Lançamento de Coleção;Não;Loja Física;3/5
13;43269;18/06/2018;18;6;2018;M02;Pardiucci;RR;Roraima;82,66;41,33;2,07;4,71;12,4;J002;Skinny;PMS 2765;Branco;2;Milton;1;Allenópolis;SP;Masculino, 35-44, Classe C;Pix;Cropped, Elastano, Lavagem Clara;Black Friday;Não;Online;5/5
14;43492;27/01/2019;27;1;2019;M03;Patrilolo;AP;Amapá;82,78;41,39;2,07;4,72;12,42;J005;Hot Pants;PMS 519;Vinho;4;Edson;2;Nova Odessa;SC;Feminino, 18-24, Classe A;Cartão de Crédito;Cropped, Elastano, Lavagem Clara;Black Friday;Não;Online;5/5
15;43078;09/12/2017;9;12;2017;M01;Allen Machine;MG;Minas Gerais;83,17;41,59;2,08;4,74;12,48;J001;Cropped;PMS 576;Verde;1;Patricia;1;Allenópolis;SP;Feminino, 18-24, Classe A;Cartão de Crédito;Flare, Jeans Reciclado, Rasgado;Promoção de Verão;Sim, Tecido Incorreto;Online;2/5
16;42532;11/06/2016;11;6;2016;M03;Patrilolo;MT;Mato Grosso;83,21;41,61;2,08;4,74;12,48;J006;Cigarrete;PMS 2965;Azul;7;Pedro;4;Bauru;SP;Feminino, 18-24, Classe A;Transferência Bancária;Boyfriend, Algodão, Rasgado;Liquidação de Inverno;Não;Loja Física;4/5
17;43209;19/04/2018;19;4;2018;M04;Salvion;PR;Paraná;83,39;41,7;2,08;4,75;12,51;J001;Cropped;PMS 2965;Azul;6;Airton;3;Rio Claro;MG;Feminino, 18-24, Classe A;Transferência Bancária;Mom, Elastano, Lavagem Escura;Liquidação de Inverno;Sim, Tecido Incorreto;Loja Física;5/5
18;43594;09/05/2019;9;5;2019;M03;Patrilolo;BA;Bahia;83,65;41,83;2,09;4,77;12,55;J006;Cigarrete;PMS 7515;Bege;6;Airton;3;Rio Claro;MG;Feminino, 45-54, Classe B;Transferência Bancária;Boyfriend, Algodão, Rasgado;Liquidação de Inverno;Não;Loja Física;5/5
19;42622;09/09/2016;9;9;2016;M01;Allen Machine;AP;Amapá;83,77;41,89;2,09;4,77;12,57;J004;Pantacourt;PMS 576;Verde;2;Milton;1;Allenópolis;SP;Masculino, 25-34, Classe B;Débito;Mom, Elastano, Lavagem Escura;Liquidação de Inverno;Sim, Tamanho Incorreto;Loja Física;4.5/5
20;43382;09/10/2018;9;10;2018;M02;Pardiucci;SC;Santa Catarina;83,83;41,92;2,1;4,78;12,58;J005;Hot Pants;PMS 7515;Bege;3;Maria Rosa;2;Nova Odessa;SC;Feminino, 18-24, Classe A;Dinheiro;Mom, Elastano, Lavagem Escura;Promoção de Verão;Não;Loja Física;5/5
21;42767;01/02/2017;1;2;2017;M03;Patrilolo;RJ;Rio de Janeiro;84,45;42,23;2,11;4,81;12,67;J003;Flare;PMS 2926;Preto;3;Maria Rosa;2;Nova Odessa;SC;Masculino, 35-44, Classe C;Pix;Cropped, Elastano, Lavagem Clara;Liquidação de Inverno;Não;Online;5/5
22;44188;23/12/2020;23;12;2020;M03;Patrilolo;MG;Minas Gerais;84,53;42,27;2,11;4,82;12,68;J003;Flare;PMS 576;Verde;4;Edson;2;Nova Odessa;SC;Masculino, 35-44, Classe C;Pix;Boyfriend, Algodão, Rasgado;Dia das Mães;Sim, Defeito no Produto;Online;4.5/5
23;43607;22/05/2019;22;5;2019;M01;Allen Machine;AC;Acre;84,88;42,44;2,12;4,84;12,73;J004;Pantacourt;PMS 576;Verde;7;Pedro;4;Bauru;SP;Feminino, 45-54, Classe B;Débito;Flare, Jeans Reciclado, Rasgado;Black Friday;Sim, Tamanho Incorreto;Loja Física;2/5
24;43825;26/12/2019;26;12;2019;M03;Patrilolo;AL;Alagoas;84,89;42,45;2,12;4,84;12,74;J006;Cigarrete;PMS 7515;Bege;3;Maria Rosa;2;Nova Odessa;SC;Feminino, 45-54, Classe B;Pix;Boyfriend, Algodão, Rasgado;Dia das Mães;Sim, Tamanho Incorreto;Loja Física;2/5
25;42623;10/09/2016;10;9;2016;M03;Patrilolo;DF;Distrito Federal;85,11;42,56;2,13;4,85;12,77;J006;Cigarrete;PMS 519;Vinho;7;Pedro;4;Bauru;SP;Feminino, 18-24, Classe A;Cartão de Crédito;Cropped, Elastano, Lavagem Clara;Black Friday;Sim, Tamanho Incorreto;Online;4.5/5
